fico, loanRateDiff, loanTimeRemaining, isInCurrentOrder, noFee, loanType, purpose, loanAmountRequested, title, loanAmtRemaining, primeUnfundedAmount, alreadyInvestedIn, loanGrade, searchrank, loan_status, hasCosigner, isWholeLoan, primeFractions, wholeLoanTimeRemaining, alreadySelected, loanUnfundedAmount, loanAmt, loanLength, loanGUID, amountToInvest, primeTotalInvestment, loanRate, primeMarkedInvestment, 
735-739, .00, 786872817, false, 0, Personal, credit_card, 27200, Credit card refinancing, 15625, 0, false, B1, -1, INFUNDING, false, 0, 0, -338035183, false, 15625, 27200, 60, 70131836, 0, 0, 8.49, 0, 
665-669, .00, 878010817, false, 0, Personal, home_improvement, 12800, Home improvement, 7600, 0, false, E4, -1, INFUNDING, false, 0, 0, -251635183, false, 7600, 12800, 60, 68568083, 0, 0, 20.50, 0, 
690-694, .00, 875472817, false, 0, Personal, home_improvement, 12000, 7875, 0, false, B4, -1, INFUNDING, false, 0, 0, -251635183, false, 7875, 12000, 60, 70244262, 0, 0, 10.78, 0, 
710-714, .00, 850173817, false, 0, Personal, debt_consolidation, 19800, Debt consolidation, 9975, 0, false, E3, -1, INFUNDING, false, 0, 0, -309235183, false, 9975, 19800, 60, 68439283, 0, 0, 19.89, 0, 
665-669, .00, 859575817, false, 0, Personal, debt_consolidation, 15000, Debt consolidation, 9250, 0, false, E2, -1, INFUNDING, false, 0, 0, -294835183, false, 9250, 15000, 60, 70102585, 0, 0, 19.48, 0, 
680-684, .00, 858186817, false, 0, Personal, debt_consolidation, 14700, 9400, 0, false, D1, -1, INFUNDING, false, 0, 0, -294835183, false, 9400, 14700, 60, 69097157, 0, 0, 15.77, 0, 
705-709, .00, 868268817, false, 0, Personal, debt_consolidation, 16800, Debt consolidation, 8675, 0, false, C1, -1, INFUNDING, false, 0, 0, -294835183, false, 8675, 16800, 60, 70112715, 0, 0, 11.99, 0, 
670-674, .00, 763601817, false, 0, Personal, debt_consolidation, 31000, 19500, 0, false, C2, -1, INFUNDING, false, 0, 0, -395635183, false, 19500, 31000, 60, 69086722, 0, 0, 12.88, 0, 
690-694, .00, 788052817, false, 0, Personal, credit_card, 28000, Credit card refinancing, 16500, 0, false, B1, -1, INFUNDING, false, 0, 0, -381235183, false, 16500, 28000, 60, 70051136, 0, 0, 8.49, 0, 
670-674, .00, 777724817, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 18225, 0, false, D4, -1, INFUNDING, false, 0, 0, -424435183, false, 18225, 35000, 60, 70221510, 0, 0, 17.97, 0, 
660-664, .00, 777470817, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 18500, 0, false, D1, -1, INFUNDING, false, 0, 0, -424435183, false, 18500, 35000, 60, 69426331, 0, 0, 15.77, 0, 
680-684, .00, 866814817, false, 0, Personal, debt_consolidation, 16000, Debt consolidation, 9375, 0, false, D1, -1, INFUNDING, false, 0, 0, -294835183, false, 9375, 16000, 60, 70212242, 0, 0, 15.77, 0, 
700-704, .00, 881973817, false, 0, Personal, debt_consolidation, 15000, Debt consolidation, 8250, 0, false, D1, -1, INFUNDING, false, 0, 0, -251635183, false, 8250, 15000, 60, 69982918, 0, 0, 15.77, 0, 
695-699, .00, 867026817, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 9525, 0, false, B4, -1, INFUNDING, false, 0, 0, -294835183, false, 9525, 20000, 60, 70112698, 0, 0, 10.78, 0, 
685-689, .00, 847767817, false, 0, Personal, car, 21500, Car financing, 11175, 0, false, E4, -1, INFUNDING, false, 0, 0, -309235183, false, 11175, 21500, 60, 69967674, 0, 0, 20.50, 0, 
675-679, .00, 782715817, false, 0, Personal, small_business, 30600, Business, 18375, 0, false, E5, -1, INFUNDING, false, 0, 0, -381235183, false, 18375, 30600, 60, 69086855, 0, 0, 21.48, 0, 
670-674, .00, 1192042817, false, 0, Personal, other, 4000, Other, 100, 0, false, D4, -1, INFUNDING, false, 0, 0, -6835183, false, 50, 4000, 36, 70701244, 0, 0, 18.99, 0, 
660-664, .00, 1177702817, false, 0, Personal, debt_consolidation, 5500, Debt consolidation, 175, 0, false, B4, -1, INFUNDING, false, 0, 0, -21235183, false, 175, 5500, 36, 70701111, 0, 0, 10.75, 0, 
700-704, .00, 1179654817, false, 0, Personal, debt_consolidation, 20475, Debt consolidation, 225, 0, false, E4, -1, INFUNDING, false, 0, 0, -21235183, false, 200, 20475, 36, 70771268, 0, 0, 21.97, 0, 
715-719, .00, 1132599817, false, 0, Personal, home_improvement, 10000, Home improvement, 250, 0, false, B5, -1, INFUNDING, false, 0, 0, -35635183, false, 225, 10000, 36, 70560929, 0, 0, 11.47, 0, 
685-689, .00, 1174519817, false, 0, Personal, credit_card, 14000, Credit card refinancing, 425, 0, false, C1, -1, INFUNDING, false, 0, 0, -21235183, false, 375, 14000, 36, 70581118, 0, 0, 11.99, 0, 
825-829, .00, 1192976817, false, 0, Personal, home_improvement, 4500, Home improvement, 575, 0, false, A2, -1, INFUNDING, false, 0, 0, -6835183, false, 475, 4500, 36, 70771444, 0, 0, 6.49, 0, 
685-689, .00, 1140650817, false, 0, Personal, debt_consolidation, 35000, Debt consolidation, 750, 0, false, C1, -1, INFUNDING, false, 0, 0, -35635183, false, 750, 35000, 36, 70790911, 0, 0, 11.99, 0, 
680-684, .00, 1179655817, false, 0, Personal, debt_consolidation, 5000, Debt consolidation, 950, 0, false, C3, -1, INFUNDING, false, 0, 0, -21235183, false, 925, 5000, 36, 70611080, 0, 0, 13.67, 0, 
705-709, .00, 1196819817, false, 0, Personal, debt_consolidation, 5000, Debt consolidation, 1125, 0, false, C4, -1, INFUNDING, false, 0, 0, -6835183, false, 1125, 5000, 36, 70601354, 0, 0, 14.46, 0, 
